acctsessionid,acctuniqueid,username,groupname,realm,nasipaddress,nasidentifier,nasportid,nasporttype,acctstarttime,acctstoptime,acctsessiontime,acctauthentic,connectinfo_start,connectinfo_stop,acctinputoctets,acctoutputoctets,calledstationid,callingstationid,acctterminatecause,servicetype,framedprotocol,framedipaddress,acctstartdelay,acctstopdelay,xascendsessionsvrkey
e05d547b3aa2_000_0000003334_1733546684,3e10b7f7eac4445e05fb20b36dc4d5dd,zubp0328@b-warriors.life-seed.cityroam.jp,,DEFAULT,172.23.10.101,jphub1.nghsig.jp,"Dot11radio 2/0.",Wireless-802.11,"2024/12/07 4:44","2024/12/07 4:50",368,RADIUS,,,91028,214594,e0-5d-54-7b-3a-a2:cityroam,ee-71-d9-60-df-3f,User-Request,Framed-User,,172.25.31.171,,,
e05d547b3aa2_000_0000002414_1733544436,f9e8e7f9d99aa3610043bb395cc49a86,zubp0328@b-warriors.life-seed.cityroam.jp,,DEFAULT,172.23.10.101,jphub1.nghsig.jp,"Dot11radio 2/0.",Wireless-802.11,"2024/12/07 4:07",,0,RADIUS,,,0,0,e0-5d-54-7b-3a-a2:cityroam,ee-71-d9-60-df-3f,,Framed-User,,0.0.0.0,,,
e05d547b39f3_000_0000001837_1733548013,845ac0d04bf3713c167aa0f417214ab1,zubp0328@b-warriors.life-seed.cityroam.jp,,DEFAULT,172.23.10.103,jphub1.nghsig.jp,"Dot11radio 2/0.",Wireless-802.11,"2024/12/07 5:06","2024/12/07 5:50",2591,RADIUS,,,263249,648957,e0-5d-54-7b-39-f3:cityroam,ee-71-d9-60-df-3f,User-Request,Framed-User,,172.25.31.171,,,
e05d547b39f3_000_0000000098_1733537682,7a38675b86f03c98c15e609216c0b0d4,zubp0328@b-warriors.life-seed.cityroam.jp,,DEFAULT,172.23.10.103,jphub1.nghsig.jp,"Dot11radio 1/0.",Wireless-802.11,"2024/12/07 2:14","2024/12/07 2:25",620,RADIUS,,,736538,2849496,e0-5d-54-7b-39-f3:cityroam,ee-71-d9-60-df-3f,User-Request,Framed-User,,172.25.31.171,,,
e05d547b3aa2_000_0000000989_1733540551,99892de7810ea523b0289d3f9725a500,zubp0328@b-warriors.life-seed.cityroam.jp,,DEFAULT,172.23.10.101,jphub1.nghsig.jp,"Dot11radio 2/0.",Wireless-802.11,"2024/12/07 3:02","2024/12/07 3:02",7,RADIUS,,,0,0,e0-5d-54-7b-3a-a2:cityroam,ee-71-d9-60-df-3f,User-Request,Framed-User,,0.0.0.0,,,
e05d547b39f3_000_0000001089_1733628363,72d900a88d32040297b2c8a49cfa0d6f,zubp0328@b-warriors.life-seed.cityroam.jp,,DEFAULT,172.23.10.103,jphub1.nghsig.jp,"Dot11radio 2/0.",Wireless-802.11,"2024/12/08 3:26","2024/12/08 3:28",130,RADIUS,,,423172,2325273,e0-5d-54-7b-39-f3:cityroam,ee-71-d9-60-df-3f,User-Request,Framed-User,,0.0.0.0,,,
e05d547b3aa2_000_0000003023_1733546000,47adc45d71e4bd791ad4084782e1819d,zubp0328@b-warriors.life-seed.cityroam.jp,,DEFAULT,172.23.10.101,jphub1.nghsig.jp,"Dot11radio 2/0.",Wireless-802.11,"2024/12/07 4:33","2024/12/07 4:35",137,RADIUS,,,203415,730840,e0-5d-54-7b-3a-a2:cityroam,ee-71-d9-60-df-3f,User-Request,Framed-User,,0.0.0.0,,,
e05d547b39f3_000_0000000424_1733539057,3dc7c6543539cdeefec48ebf8023f795,zubp0328@b-warriors.life-seed.cityroam.jp,,DEFAULT,172.23.10.103,jphub1.nghsig.jp,"Dot11radio 2/0.",Wireless-802.11,"2024/12/07 2:37","2024/12/07 2:38",15,RADIUS,,,0,0,e0-5d-54-7b-39-f3:cityroam,ee-71-d9-60-df-3f,User-Request,Framed-User,,0.0.0.0,,,
e05d547b39f3_000_0000000451_1733539127,6a0c122d67294825e659328f9cbc72a6,zubp0328@b-warriors.life-seed.cityroam.jp,,DEFAULT,172.23.10.103,jphub1.nghsig.jp,"Dot11radio 1/0.",Wireless-802.11,"2024/12/07 2:38","2024/12/07 2:39",11,RADIUS,,,0,0,e0-5d-54-7b-39-f3:cityroam,ee-71-d9-60-df-3f,Lost-Carrier,Framed-User,,0.0.0.0,,,
e05d547b39f3_000_0000004728_1733638489,a0161dca3b1949a2f264ef816afce7eb,zubp0328@b-warriors.life-seed.cityroam.jp,,DEFAULT,172.23.10.103,jphub1.nghsig.jp,"Dot11radio 2/0.",Wireless-802.11,"2024/12/08 6:14","2024/12/08 6:14",3,RADIUS,,,0,0,e0-5d-54-7b-39-f3:cityroam,ee-71-d9-60-df-3f,User-Request,Framed-User,,0.0.0.0,,,
e05d547b3aa2_000_0000001226_1733628436,694269be21e5bb60783595ffc477d03d,zubp0328@b-warriors.life-seed.cityroam.jp,,DEFAULT,172.23.10.101,jphub1.nghsig.jp,"Dot11radio 2/0.",Wireless-802.11,"2024/12/08 3:27","2024/12/08 3:33",370,RADIUS,,,162876,805399,e0-5d-54-7b-3a-a2:cityroam,ee-71-d9-60-df-3f,User-Request,Framed-User,,172.25.31.171,,,
e05d547b39f3_000_0000004738_1733638511,7e8a46e1c20ba4b13a9e74507705d482,zubp0328@b-warriors.life-seed.cityroam.jp,,DEFAULT,172.23.10.103,jphub1.nghsig.jp,"Dot11radio 2/0.",Wireless-802.11,"2024/12/08 6:15",,4200,RADIUS,,,996042,1780382,e0-5d-54-7b-39-f3:cityroam,ee-71-d9-60-df-3f,,Framed-User,,172.25.31.171,,,
e05d547b39f3_000_0000001187_1733540651,eaf1f97b7b4c85a33eca4b793a5f71a4,zubp0328@b-warriors.life-seed.cityroam.jp,,DEFAULT,172.23.10.103,jphub1.nghsig.jp,"Dot11radio 2/0.",Wireless-802.11,"2024/12/07 3:04","2024/12/07 3:16",720,RADIUS,,,789549,7086859,e0-5d-54-7b-39-f3:cityroam,ee-71-d9-60-df-3f,User-Request,Framed-User,,172.25.31.171,,,
e05d547b39f3_000_0000007418_1733546249,497e316d5c1c1b7e2ca849a32531afaa,ztrw9430@b-warriors.life-seed.cityroam.jp,,DEFAULT,172.23.10.103,jphub1.nghsig.jp,"Dot11radio 2/0.",Wireless-802.11,"2024/12/07 4:37",,0,RADIUS,,,0,0,e0-5d-54-7b-39-f3:cityroam,02-f0-21-d1-ff-7f,,Framed-User,,0.0.0.0,,,
e05d547b39f3_000_0000007015_1733545371,225db71cbf0932db7d43693de65c8b81,ztrw9430@b-warriors.life-seed.cityroam.jp,,DEFAULT,172.23.10.103,jphub1.nghsig.jp,"Dot11radio 2/0.",Wireless-802.11,"2024/12/07 4:22","2024/12/07 4:37",875,RADIUS,,,102158,169882,e0-5d-54-7b-39-f3:cityroam,02-f0-21-d1-ff-7f,User-Request,Framed-User,,172.25.30.100,,,
e05d547b39f3_000_0000000614_1733546670,d7b0913f9861d822940e6cba9fbc7a60,ztrw9430@b-warriors.life-seed.cityroam.jp,,DEFAULT,172.23.10.103,jphub1.nghsig.jp,"Dot11radio 2/0.",Wireless-802.11,"2024/12/07 4:44","2024/12/07 4:44",6,RADIUS,,,0,0,e0-5d-54-7b-39-f3:cityroam,02-f0-21-d1-ff-7f,User-Request,Framed-User,,0.0.0.0,,,
e05d547b39f3_000_0000001821_1733547966,7e617dc546f3b6b88ae3758bbcca8016,ztrw9430@b-warriors.life-seed.cityroam.jp,,DEFAULT,172.23.10.103,jphub1.nghsig.jp,"Dot11radio 2/0.",Wireless-802.11,"2024/12/07 5:06","2024/12/07 5:37",1902,RADIUS,,,29754,40745,e0-5d-54-7b-39-f3:cityroam,02-f0-21-d1-ff-7f,User-Request,Framed-User,,172.25.30.100,,,
e05d547b39f3_000_0000001464_1733547288,83247e5e64aab1bdf5eb99a94f26e3d1,ztrw9430@b-warriors.life-seed.cityroam.jp,,DEFAULT,172.23.10.103,jphub1.nghsig.jp,"Dot11radio 2/0.",Wireless-802.11,"2024/12/07 4:54","2024/12/07 4:56",69,RADIUS,,,0,0,e0-5d-54-7b-39-f3:cityroam,02-f0-21-d1-ff-7f,User-Request,Framed-User,,0.0.0.0,,,
e05d547b39f3_000_0000001021_1733546864,72425f1b7d4fa199b69934477f5233e4,ztrw9430@b-warriors.life-seed.cityroam.jp,,DEFAULT,172.23.10.103,jphub1.nghsig.jp,"Dot11radio 2/0.",Wireless-802.11,"2024/12/07 4:47","2024/12/07 4:49",119,RADIUS,,,66175,188956,e0-5d-54-7b-39-f3:cityroam,02-f0-21-d1-ff-7f,User-Request,Framed-User,,0.0.0.0,,,
e05d547b39f3_000_0000002776_1733631951,b7bf58acd7b1efff2914d47dc2969ea4,zspv8397@b-warriors.life-seed.cityroam.jp,,DEFAULT,172.23.10.103,jphub1.nghsig.jp,"Dot11radio 2/0.",Wireless-802.11,"2024/12/08 4:25","2024/12/08 4:26",57,RADIUS,,,0,0,e0-5d-54-7b-39-f3:cityroam,02-de-0d-43-78-6b,User-Request,Framed-User,,0.0.0.0,,,
e05d547b3aa2_000_0000002636_1733544713,a1490743d1545469defaf607eed0d417,zsfy9678@app.life-seed.cityroam.jp,,DEFAULT,172.23.10.101,jphub1.nghsig.jp,"Dot11radio 2/0.",Wireless-802.11,"2024/12/07 4:11","2024/12/07 4:17",318,RADIUS,,,21120,47201,e0-5d-54-7b-3a-a2:cityroam,52-bb-2c-b2-de-ca,User-Request,Framed-User,,172.25.30.171,,,
e05d547b39f3_000_0000007040_1733545410,1f5cf042815f6ee81301e5aff186b2cf,zsfy9678@app.life-seed.cityroam.jp,,DEFAULT,172.23.10.103,jphub1.nghsig.jp,"Dot11radio 2/0.",Wireless-802.11,"2024/12/07 4:23","2024/12/07 4:33",576,RADIUS,,,236960,424791,e0-5d-54-7b-39-f3:cityroam,52-bb-2c-b2-de-ca,User-Request,Framed-User,,172.25.30.171,,,
e05d547b3a75_000_0000000693_1733544084,cb4a8f52a19b4ffe722946319391c13d,zsfy9678@app.life-seed.cityroam.jp,,DEFAULT,172.23.10.102,jphub1.nghsig.jp,"Dot11radio 2/0.",Wireless-802.11,"2024/12/07 4:01","2024/12/07 4:07",345,RADIUS,,,271721,3779881,e0-5d-54-7b-3a-75:cityroam,52-bb-2c-b2-de-ca,User-Request,Framed-User,,172.25.30.171,,,
e05d547b3aa2_000_0000002347_1733544288,5c0e374310b8a0c0c4e3600622e241a7,zsfy9678@app.life-seed.cityroam.jp,,DEFAULT,172.23.10.101,jphub1.nghsig.jp,"Dot11radio 2/0.",Wireless-802.11,"2024/12/07 4:04",,0,RADIUS,,,0,0,e0-5d-54-7b-3a-a2:cityroam,52-bb-2c-b2-de-ca,,Framed-User,,0.0.0.0,,,
e05d547b3aa2_000_0000002916_1733545203,1c44fe9c46c450fadc4973519037b658,zsfy9678@app.life-seed.cityroam.jp,,DEFAULT,172.23.10.101,jphub1.nghsig.jp,"Dot11radio 2/0.",Wireless-802.11,"2024/12/07 4:20","2024/12/07 4:25",317,RADIUS,,,30682,60529,e0-5d-54-7b-3a-a2:cityroam,52-bb-2c-b2-de-ca,User-Request,Framed-User,,172.25.30.171,,,
e05d547b39f3_000_0000006913_1733545215,60ab6eea4ce1837e5b5e97f433b1ad70,zsfy9678@app.life-seed.cityroam.jp,,DEFAULT,172.23.10.103,jphub1.nghsig.jp,"Dot11radio 2/0.",Wireless-802.11,"2024/12/07 4:20","2024/12/07 4:22",146,RADIUS,,,195627,345335,e0-5d-54-7b-39-f3:cityroam,52-bb-2c-b2-de-ca,User-Request,Framed-User,,0.0.0.0,,,
e05d547b39f3_000_0000000618_1733626650,0450ef1906872a3467c9b8205377d6b6,zseu1897@app.life-seed.cityroam.jp,,DEFAULT,172.23.10.103,jphub1.nghsig.jp,"Dot11radio 2/0.",Wireless-802.11,"2024/12/08 2:57","2024/12/08 3:00",157,RADIUS,,,151459,221769,e0-5d-54-7b-39-f3:cityroam,c6-5f-52-ef-f2-49,User-Request,Framed-User,,0.0.0.0,,,
e05d547b39f3_000_0000002849_1733632127,7f6b6bc1ef99141c20301f52a83e4b36,zseu1897@app.life-seed.cityroam.jp,,DEFAULT,172.23.10.103,jphub1.nghsig.jp,"Dot11radio 2/0.",Wireless-802.11,"2024/12/08 4:28","2024/12/08 4:42",825,RADIUS,,,97990,281791,e0-5d-54-7b-39-f3:cityroam,c6-5f-52-ef-f2-49,User-Request,Framed-User,,172.25.29.193,,,
